id,index,period,timestamp,minute,second,possession,duration,type.id,type.name,possession_team.id,possession_team.name,play_pattern.id,play_pattern.name,team.id,team.name,tactics.formation,tactics.lineup,related_events,location,player.id,player.name,position.id,position.name,pass.recipient.id,pass.recipient.name,pass.length,pass.angle,pass.height.id,pass.height.name,pass.end_location,pass.body_part.id,pass.body_part.name,pass.type.id,pass.type.name,under_pressure,carry.end_location,dribble.outcome.id,dribble.outcome.name,pass.outcome.id,pass.outcome.name,ball_receipt.outcome.id,ball_receipt.outcome.name,block.deflection,pass.assisted_shot_id,pass.shot_assist,shot.statsbomb_xg,shot.end_location,shot.key_pass_id,shot.body_part.id,shot.body_part.name,shot.type.id,shot.type.name,shot.technique.id,shot.technique.name,shot.outcome.id,shot.outcome.name,shot.freeze_frame,goalkeeper.end_location,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.type.id,goalkeeper.type.name,block.offensive,pass.cross,duel.type.id,duel.type.name,shot.aerial_won,counterpress,interception.outcome.id,interception.outcome.name,duel.outcome.id,duel.outcome.name,dribble.overrun,pass.aerial_won,ball_recovery.recovery_failure,injury_stoppage.in_chain,dribble.nutmeg,shot.first_time,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.outcome.id,goalkeeper.outcome.name,pass.switch,pass.backheel,50_50.outcome.id,50_50.outcome.name,foul_committed.card.id,foul_committed.card.name,foul_committed.advantage,foul_won.advantage,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,clearance.aerial_won,pass.deflected,pass.cut_back,shot.one_on_one,bad_behaviour.card.id,bad_behaviour.card.name,pass.goal_assist
43a535f8-cb57-48d3-81e5-def30cfcd02c,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,766,North Carolina Courage,1,Regular Play,766,North Carolina Courage,442.0,"[{'player': {'id': 5102, 'name': 'Sabrina Dâ€™Angelo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5083, 'name': 'Merritt Mathias'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 5047, 'name': 'Jaelene McKenzie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 5091, 'name': 'McCall Zerboni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 5044, 'name': 'DÃ©bora Cristiane de Oliveira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17222a84-2669-4e8f-9be0-ab4930f5764b,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,766,North Carolina Courage,1,Regular Play,761,Chicago Red Stars,433.0,"[{'player': {'id': 5100, 'name': 'Alyssa Michele Naeher'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 4955, 'name': 'Sarah Gorden'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5101, 'name': 'Samantha Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 5105, 'name': 'Sofia Huerta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 4965, 'name': 'Nikki Stanton'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 4957, 'name': 'Lauren Kaskie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 5103, 'name': 'Michele Vasconcelos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 5104, 'name': 'Summer Green'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de653140-8a3d-4398-81b8-6dfd157c8b04,3,1,00:00:00.000,0,0,1,9.12,18,Half Start,766,North Carolina Courage,1,Regular Play,766,North Carolina Courage,,,['78667469-0503-4b3d-a2ad-cf3453fbee03'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78667469-0503-4b3d-a2ad-cf3453fbee03,4,1,00:00:00.000,0,0,1,9.2,18,Half Start,766,North Carolina Courage,1,Regular Play,761,Chicago Red Stars,,,['de653140-8a3d-4398-81b8-6dfd157c8b04'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5964bf46-6176-40dc-bd1f-fef1c79efb4b,5,1,00:00:03.033,0,3,2,0.207,30,Pass,761,Chicago Red Stars,9,From Kick Off,761,Chicago Red Stars,,,['69399a25-1233-4fc3-b273-9db0311281c0'],"[61.0, 41.0]",5103.0,Michele Vasconcelos,15.0,Left Center Midfield,5104.0,Summer Green,3.6055512,-0.5880026,1.0,Ground Pass,"[64.0, 39.0]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31018cdc-ab00-4d33-8587-00044bebb8a5,6,1,00:00:03.120,0,3,2,2.36,17,Pressure,761,Chicago Red Stars,9,From Kick Off,766,North Carolina Courage,,,"['09152364-441d-45f1-908b-fd7793d2b585', '69399a25-1233-4fc3-b273-9db0311281c0', 'ba277466-42f8-4cc3-841b-2c67704a800f', 'c5595bcf-56c4-41a7-9ce5-007cbcdc85c0', 'dfc934b4-58fd-4154-9e6e-fa4ee8bd1b1b']","[53.0, 46.0]",5084.0,Denise O'Sullivan,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69399a25-1233-4fc3-b273-9db0311281c0,7,1,00:00:03.240,0,3,2,,42,Ball Receipt*,761,Chicago Red Stars,9,From Kick Off,761,Chicago Red Stars,,,"['31018cdc-ab00-4d33-8587-00044bebb8a5', '5964bf46-6176-40dc-bd1f-fef1c79efb4b']","[64.0, 39.0]",5104.0,Summer Green,23.0,Center Forward,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5595bcf-56c4-41a7-9ce5-007cbcdc85c0,8,1,00:00:03.240,0,3,2,0.493,43,Carry,761,Chicago Red Stars,9,From Kick Off,761,Chicago Red Stars,,,"['31018cdc-ab00-4d33-8587-00044bebb8a5', '69399a25-1233-4fc3-b273-9db0311281c0', 'ba277466-42f8-4cc3-841b-2c67704a800f', 'c3cbd773-c9db-4f82-b10a-457dcc7f8d8e']","[64.0, 39.0]",5104.0,Summer Green,23.0,Center Forward,,,,,,,,,,,,True,"[64.0, 37.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3cbd773-c9db-4f82-b10a-457dcc7f8d8e,9,1,00:00:03.240,0,3,2,0.84,17,Pressure,761,Chicago Red Stars,9,From Kick Off,766,North Carolina Courage,,,"['09152364-441d-45f1-908b-fd7793d2b585', 'ba277466-42f8-4cc3-841b-2c67704a800f', 'c5595bcf-56c4-41a7-9ce5-007cbcdc85c0']","[39.0, 39.0]",5044.0,DÃ©bora Cristiane de Oliveira,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ca2fb0a-15f0-461a-95bb-2f0b8a7cb4d3,10,1,00:00:03.733,0,3,2,,39,Dribbled Past,761,Chicago Red Stars,9,From Kick Off,766,North Carolina Courage,,,"['09152364-441d-45f1-908b-fd7793d2b585', 'ba277466-42f8-4cc3-841b-2c67704a800f']","[57.0, 44.0]",5044.0,DÃ©bora Cristiane de Oliveira,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
